"terminal","clase_vehiculo","nivel_servicio","municipio_origen_ruta","municipio_destino_ruta","fecha_despacho","hora_despacho","tipo_despacho","despachos","pasajeros"
"T.T. DE DUITAMA","MICROBUS","LUJO","15238","15693","2022-04-25T00:00:00.000","13","ORIGEN","1","10"
"T.T. DE BOGOTÁ NORTE","BUSETA","LUJO","11001","25295","2022-10-04T00:00:00.000","08","ORIGEN","1","5"
"T.T. DE TULÚA","AUTOMOVIL","BASICO","76834","76670","2022-04-25T00:00:00.000","21","ORIGEN","1","3"
"T.T. DE PASTO","MICROBUS","BASICO","52001","52260","2022-02-22T00:00:00.000","15","ORIGEN","1","5"
"T.T. DE CARTAGENA","MICROBUS","LUJO","13001","13244","2022-04-27T00:00:00.000","05","ORIGEN","1","10"
"T.T. DE CARTAGENA","MICROBUS","LUJO","13001","13244","2022-04-27T00:00:00.000","05","ORIGEN","1","10"
"T.T. DE PITALITO","BUS","LUJO","41551","11001","2022-03-20T00:00:00.000","20","ORIGEN","2","53"
"T.T. DE MONTERÍA","BUS","LUJO","23001","23417","2022-03-29T00:00:00.000","18","ORIGEN","1","3"
"T.T. DE CÚCUTA","BUS","LUJO","54001","76001","2022-12-08T00:00:00.000","16","ORIGEN","1","20"
"T.T. DE CÚCUTA","BUS","LUJO","54001","76001","2022-12-08T00:00:00.000","16","ORIGEN","1","20"
"T.T. DE VILLAGARZÓN","BUS","BASICO","86568","76001","2022-03-09T00:00:00.000","19","ORIGEN","1","9"
"T.T. DE AGUAZUL","MICROBUS","LUJO","85410","85001","2022-08-23T00:00:00.000","16","TRANSITO","1","5"
"T.T. DE IPIALES","MICROBUS","BASICO","52356","52001","2022-03-17T00:00:00.000","17","ORIGEN","2","37"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","25001","2022-04-17T00:00:00.000","16","ORIGEN","1","8"
"T.T. DE CALI","MICROBUS","BASICO","76001","76869","2022-06-30T00:00:00.000","13","ORIGEN","1","2"
"T.T. DE MEDELLÍN NORTE","BUS","LUJO","05001","11001","2022-08-15T00:00:00.000","17","ORIGEN","1","35"
"T.T. DE ESPINAL","BUS","LUJO","41001","17001","2022-07-15T00:00:00.000","11","TRANSITO","1","0"
"T.T. DE BARRANQUILLA","BUS","LUJO","08001","13001","2022-04-19T00:00:00.000","09","ORIGEN","1","9"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","15176","2022-09-01T00:00:00.000","08","ORIGEN","1","2"
"T.T. DE MEDELLÍN SUR","BUS","BASICO","05001","05282","2022-08-08T00:00:00.000","13","ORIGEN","1","6"
"T.T. DE IBAGUÉ","MICROBUS","BASICO","73001","73168","2022-12-20T00:00:00.000","06","ORIGEN","1","9"
"T.T. DE AGUACHICA","BUS","LUJO","08001","11001","2022-12-13T00:00:00.000","15","TRANSITO","1","15"
"T.T. DE GARZÓN","MICROBUS","BASICO","08433","11001","2022-11-06T00:00:00.000","09","TRANSITO","1","4"
"T.T. DE PITALITO","CAMIONETA","LUJO","18001","86568","2022-08-27T00:00:00.000","19","TRANSITO","1","8"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","41001","2022-01-15T00:00:00.000","18","ORIGEN","1","2"
"T.T. DE TUNJA","BUS","LUJO","68190","11001","2022-02-04T00:00:00.000","08","TRANSITO","1","0"
"T.T. DE GIRARDOT","MICROBUS","LUJO","25307","25001","2022-07-24T00:00:00.000","12","ORIGEN","1","5"
"T.T. DE ARMENIA","BUSETA","BASICO","63001","63302","2022-02-21T00:00:00.000","08","ORIGEN","1","5"
"T.T. DE IBAGUÉ","BUSETA","LUJO","73001","11001","2022-04-07T00:00:00.000","10","ORIGEN","1","13"
"T.T. DE SOGAMOSO","BUS","LUJO","15759","15822","2022-08-20T00:00:00.000","14","ORIGEN","1","3"
"T.T. DE ARMENIA","BUS","LUJO","17001","41001","2022-09-04T00:00:00.000","16","TRANSITO","1","6"
"T.T. DE VILLAGARZÓN","CAMIONETA","BASICO","86001","86568","2022-07-28T00:00:00.000","09","TRANSITO","1","5"
"T.T. DE OCAÑA","CAMIONETA","BASICO","54498","20011","2022-06-22T00:00:00.000","08","ORIGEN","1","8"
